Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Naturally Sparkling Cider,Napton Cidery,Red Devil Single Variety,🥉 Bronze,Active,England,"<a href=""https://www.naptoncidery.co.uk/"">Website</a>","<a href=""https://www.facebook.com/naptoncidery"">Facebook</a>","<a href=""https://www.instagram.com/naptoncidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12009368832613245042"">Google</a>","<a href=""https://www.yelp.com/biz/napton-cidery-southam"">Yelp</a>","<a href=""https://www.tripadvisor.co.uk/Attraction_Review-g1763975-d12810677"">TripAdvisor</a>"
2018,Naturally Sparkling Cider,North Wood Cyder,Northwood Cyder,🥉 Bronze,Inactive,England,,,,,,
2018,New World Style Cider,Tempted Cider,Tempted Irish Cider - Dry,🏆 Trophy,Active,Northern Ireland,"<a href=""https://www.temptedcider.com/"">Website</a>","<a href=""https://www.facebook.com/temptedcider/"">Facebook</a>","<a href=""https://www.instagram.com/temptedcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4479314919661417093"">Google</a>",,
2018,New World Style Cider,Appie,Le Brut,🥈 Silver,Active,France,,"<a href=""https://www.facebook.com/appiecidre/"">Facebook</a>","<a href=""https://www.instagram.com/appie.cidre/"">Instagram</a>",,,
2018,New World Style Cider,Aston Manor Cider,Kingstone Press Classic Apple,🥈 Silver,Active,England,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,
2018,New World Style Cider,Brännland Cider,"Brännland Cider 4,5%",🥈 Silver,Active,Sweden,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,
2018,New World Style Cider,Brännland Cider,"Pernilla Perle 2016 8,5%",🥈 Silver,Active,Sweden,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,
2018,New World Style Cider,Sxollie,Sxollie Natural Granny Smith Cider,🥈 Silver,Active,England,"<a href=""https://sxollie.com/"">Website</a>","<a href=""https://www.facebook.com/sxollie/"">Facebook</a>","<a href=""https://www.instagram.com/sxolliexider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10777151726289454626"">Google</a>",,
2018,New World Style Cider,Ramborn Cider Co.,Ramborn Original - Medium Dry Cider,🥈 Silver,Active,Luxembourg,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>"
2018,New World Style Cider,Ramborn Cider Co.,Ramborn Single Variety Erbachhofer - 2016 Harvest,🥈 Silver,Active,Luxembourg,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>"
