WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1169,Gartziategi,Basque Country,0,1,3,4,2017,2019,2,Active,https://gartziategi.com/,https://www.facebook.com/gartziategi,https://www.instagram.com/gartziategi/,https://maps.google.com/?cid=4734247712861040251,https://www.yelp.com/biz/gartziategi-donostia-san-sebastian,https://www.tripadvisor.com/Restaurant_Review-g187457-d4258881,https://untappd.com/w/gartziategi-braserria/123054,43.288441,-1.9483978,0
3105,Haselberger,Austria,0,1,3,4,2023,2023,1,Active,https://www.haselberger-most.at/,https://www.facebook.com/dhaselbergers,https://www.instagram.com/haselberger_most/,https://maps.google.com/?cid=786849473018101989,,,,48.1210315,14.531135,0
2754,Sidra La Naveta,Asturias,0,0,4,4,2017,2023,3,Active,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,,https://untappd.com/w/la-naveta/288596,43.358071,-5.506408,0
2696,Domaine de la Mare,France,2,1,0,3,2021,2021,1,Active,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,,https://untappd.com/w/domaine-de-la-mare/511923,48.039019,0.233564,0
1130,Oliver's Cider and Perry,England,2,1,0,3,2021,2021,1,Active,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,,https://untappd.com/brewery/6568,52.118645,-2.59315,0
2760,Cidérka,Czechia,2,0,1,3,2021,2023,2,Active,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,,https://untappd.com/w/ciderka/463341,49.2279067,16.5338423,0
2744,Restauracja Tabun,Poland,2,0,1,3,2023,2023,1,Active,https://www.restauracjatabun.pl/,https://www.facebook.com/TABUNCYDR/,https://www.instagram.com/tabuncydr/,https://maps.google.com/?cid=13556304642115496222,,https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599,https://untappd.com/w/tabun/434136,54.3205556,18.5244444,0
3605,Apfelweinhandlung JB,Germany,1,2,0,3,2019,2019,1,Active,https://www.apfelweinhandlung.de/,https://www.facebook.com/janusbecker/,https://www.instagram.com/apfelweinhandlung/,https://maps.google.com/?cid=4042602811831238709,https://www.yelp.com/biz/apfelweinhandlung-jb-frankfurt-am-main-2,,https://untappd.com/w/apfelweinhandlung-janus-becker/213578,50.1056113,8.6876455,0
3015,Lepola Drinks,Finland,1,2,0,3,2023,2023,1,Active,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,,https://untappd.com/w/lepola/401095,60.1705262,22.9621416,0
1587,Les Vergers de Kermao,France,1,2,0,3,2017,2021,3,Active,https://www.cidre-bretagne.com/,,https://www.instagram.com/kermao.cidre/,https://maps.google.com/?cid=11761800243914556755,,https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735,https://untappd.com/w/les-vergers-de-kermao/240565,47.921861,-4.08808,0
