glintcap_short,glintcap_full,glintcap_slug,Medalist,Assumed,World_ID,World_Name_Old,actual_short,notes,World_Name,new_cg_url
https://glintcap.org/anxo-cider,https://glintcap.org/results/commercial/medalists/anxo-cider,anxo-cider,ANXO Cider,https://ciderguide.com/anxo-cider,89,ANXO Cider,https://ciderguide.com/anxo-cider,,ANXO Cider,https://ciderguide.com/glintcap/medalists/anxo-cider/
https://glintcap.org/3-keys,https://glintcap.org/results/commercial/medalists/3-keys/,3-keys,#N/A,#N/A,1849,3 Keys Brewing,https://ciderguide.com/3-keys-brewing,,3 Keys Brewing,https://ciderguide.com/glintcap/medalists/3-keys-brewing/
https://glintcap.org/cigar-city-cider-mead,https://glintcap.org/results/commercial/medalists/cigar-city-cider-mead/,cigar-city-cider-mead,Cigar City Cider & Mead,https://ciderguide.com/cigar-city-cider-mead,197,Cigar City Cider & Mead,https://ciderguide.com/cigar-city-cider-mead,,Cigar City Cider & Mead,https://ciderguide.com/glintcap/medalists/cigar-city-cider-mead/
https://glintcap.org/green-bench-mead-and-cider,https://glintcap.org/results/commercial/medalists/green-bench-mead-and-cider/,green-bench-mead-and-cider,#N/A,#N/A,306,Green Bench Brewing Co.,https://ciderguide.com/green-bench-brewing-co,,Green Bench Brewing Co.,https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/
https://glintcap.org/atlanta-hard-cider-company,https://glintcap.org/results/commercial/medalists/atlanta-hard-cider-company/,atlanta-hard-cider-company,#N/A,#N/A,102,Atlanta Hard Cider Co.,https://ciderguide.com/atlanta-hard-cider-co,,Atlanta Hard Cider Co.,https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/
https://glintcap.org/treehorn-cider,https://glintcap.org/results/commercial/medalists/treehorn-cider/,treehorn-cider,Treehorn Cider,https://ciderguide.com/treehorn-cider,645,Treehorn Cider,https://ciderguide.com/treehorn-cider,,Treehorn Cider,https://ciderguide.com/glintcap/medalists/treehorn-cider/
https://glintcap.org/urban-tree-hard-cider,https://glintcap.org/results/commercial/medalists/urban-tree-hard-cider/,urban-tree-hard-cider,Urban Tree Hard Cider,https://ciderguide.com/urban-tree-hard-cider,661,Urban Tree Hard Cider,https://ciderguide.com/urban-tree-hard-cider,,Urban Tree Hard Cider,https://ciderguide.com/glintcap/medalists/urban-tree-hard-cider/
https://glintcap.org/meriwether-cider-co,https://glintcap.org/results/commercial/medalists/meriwether-cider-co/,meriwether-cider-co,#N/A,#N/A,415,Meriwether Cider Company,https://ciderguide.com/meriwether-cider-company,,Meriwether Cider Company,https://ciderguide.com/glintcap/medalists/meriwether-cider-company/
https://glintcap.org/2-fools-cider,https://glintcap.org/results/commercial/medalists/2-fools-cider/,2-fools-cider,2 Fools Cider,https://ciderguide.com/2-fools-cider,66,2 Fools Cider,https://ciderguide.com/2-fools-cider,,2 Fools Cider,https://ciderguide.com/glintcap/medalists/2-fools-cider/
https://glintcap.org/apple-knocker-hard-cider,https://glintcap.org/results/commercial/medalists/apple-knocker-hard-cider/,apple-knocker-hard-cider,#N/A,#N/A,91,Owl Creek Vineyard,https://ciderguide.com/owl-creek-vineyard,,Owl Creek Vineyard,https://ciderguide.com/glintcap/medalists/owl-creek-vineyard/
