Source,Target,Short_Name,CG_URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Notes,"[table id=9 filter=""zzz"" filter_full_cell_match=true hide_columns=""3"" /]"
https://glintcap.org/bold-rock-hard-cider,https://glintcap.org/results/commercial/medalists/bold-rock-hard-cider/,bold-rock-hard-cider,https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/,Bold Rock Hard Cider (Mills River),Active,152,North Carolina,United States,"[table id=9 filter=""Bold Rock Hard Cider (Mills River)"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/botanist-barrel,https://glintcap.org/results/commercial/medalists/botanist-barrel/,botanist-barrel,https://ciderguide.com/glintcap/medalists/botanist-barrel/,Botanist & Barrel,Active,155,North Carolina,United States,"[table id=9 filter=""Botanist & Barrel"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/boyden-valley-winery-spirits,https://glintcap.org/results/commercial/medalists/boyden-valley-winery-spirits/,boyden-valley-winery-spirits,https://ciderguide.com/glintcap/medalists/boyden-valley-winery-spirits/,Boyden Valley Winery & Spirits,Active,157,Vermont,United States,"[table id=9 filter=""Boyden Valley Winery & Spirits"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/brix-cider,https://glintcap.org/results/commercial/medalists/brix-cider/,brix-cider,https://ciderguide.com/glintcap/medalists/brix-cider/,Brix Cider,Active,162,Wisconsin,United States,"[table id=9 filter=""Brix Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/brooklyn-cider-house,https://glintcap.org/results/commercial/medalists/brooklyn-cider-house/,brooklyn-cider-house,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/,Brooklyn Cider House,Active,165,New York,United States,"[table id=9 filter=""Brooklyn Cider House"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/bryants-cider,https://glintcap.org/results/commercial/medalists/bryants-cider/,bryants-cider,https://ciderguide.com/glintcap/medalists/bryants-cider/,Bryant's Cider,Active,170,Virginia,United States,"[table id=9 filter=""Bryant's Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/bull-city-ciderworks,https://glintcap.org/results/commercial/medalists/bull-city-ciderworks/,bull-city-ciderworks,https://ciderguide.com/glintcap/medalists/bull-city-ciderworks/,Bull City Ciderworks,Active,172,North Carolina,United States,"[table id=9 filter=""Bull City Ciderworks"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/bull-run-cider,https://glintcap.org/results/commercial/medalists/bull-run-cider/,bull-run-cider,https://ciderguide.com/glintcap/medalists/bull-run-cider/,Bull Run Cider,Active,173,Oregon,United States,"[table id=9 filter=""Bull Run Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/buskey-cider,https://glintcap.org/results/commercial/medalists/buskey-cider/,buskey-cider,https://ciderguide.com/glintcap/medalists/buskey-cider/,Buskey Cider,Active,175,Virginia,United States,"[table id=9 filter=""Buskey Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/california-cider-company,https://glintcap.org/results/commercial/medalists/california-cider-company/,california-cider-company,https://ciderguide.com/glintcap/medalists/california-cider-company/,California Cider Company,Active,179,California,United States,"[table id=9 filter=""California Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/castle-hill-cider,https://glintcap.org/results/commercial/medalists/castle-hill-cider/,castle-hill-cider,https://ciderguide.com/glintcap/medalists/castle-hill-cider/,Castle Hill Cider,Active,185,Virginia,United States,"[table id=9 filter=""Castle Hill Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/champlain-orchards,https://glintcap.org/results/commercial/medalists/champlain-orchards/,champlain-orchards,https://ciderguide.com/glintcap/medalists/champlain-orchards/,Champlain Orchards,Active,188,Vermont,United States,"[table id=9 filter=""Champlain Orchards"" filter_full_cell_match=true hide_columns=""3"" /]",,
