glintcap,new_cg_url
/saro-cider/,https://ciderguide.com/glintcap/medalists/saro-cider/
/valas-orchard-cider-co/,https://ciderguide.com/glintcap/medalists/valas-orchard-cider/
/three-thinkers-cider/,https://ciderguide.com/glintcap/medalists/three-thinkers-cider/
/bird-dog-cider/,https://ciderguide.com/glintcap/medalists/bird-dog-cider/
/chase-hill-cider/,https://ciderguide.com/glintcap/medalists/chase-hill-cider/
/beach-bee-meadery/,https://ciderguide.com/glintcap/medalists/beach-bee-meadery/
/brew-lab-101-beer-cider-co/,https://ciderguide.com/glintcap/medalists/brew-lab-101-beer-cider-co/
/red-door-brewing-company/,https://ciderguide.com/glintcap/medalists/red-door-brewing-company/
/santa-fe-cider-works/,https://ciderguide.com/glintcap/medalists/santa-fe-cider-works/
/santa-sidra-hard-cider/,https://ciderguide.com/glintcap/medalists/santa-sidra-hard-cider/
/tractor-brewing-company/,https://ciderguide.com/glintcap/medalists/tractor-brewing-company/
/1911-established/,https://ciderguide.com/glintcap/medalists/1911-established/
/angry-orchard/,https://ciderguide.com/glintcap/medalists/angry-orchard/
/black-diamond-cider/,https://ciderguide.com/glintcap/medalists/black-diamond-cider/
/blackbird-cider-works/,https://ciderguide.com/glintcap/medalists/resurgence-brewing-co/
/blackman-cider-co/,https://ciderguide.com/glintcap/medalists/blackman-cider-co/
/blue-toad-hard-cider/,https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/
/brooklyn-cider-house/,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/
/brothers-covino/,https://ciderguide.com/glintcap/medalists/hardscrabble-cider/
/chateau-buffalo/,https://ciderguide.com/glintcap/medalists/chateau-buffalo/
/cider-creek-hard-cider/,https://ciderguide.com/glintcap/medalists/cider-creek-hard-cider/
/clarksburg-cider-co/,https://ciderguide.com/glintcap/medalists/clarksburg-cider/
/critz-farms/,https://ciderguide.com/glintcap/medalists/critz-farms/
/descendant-cider-company/,https://ciderguide.com/glintcap/medalists/descendant-cider-company/
/diner-brew-co/,https://ciderguide.com/glintcap/medalists/diner-brew-co/
/embark-craft-ciderworks/,https://ciderguide.com/glintcap/medalists/embark-craft-ciderworks/
/empire-cider-company/,https://ciderguide.com/glintcap/medalists/empire-cider-company/
/hazlitt-1852-cider-crafters/,https://ciderguide.com/glintcap/medalists/hazlitt-1852-vineyards/
/heirloom-hill-cider-company/,https://ciderguide.com/glintcap/medalists/heirloom-hill-cider-company/
/hudson-valley-farmhouse-cider/,https://ciderguide.com/glintcap/medalists/hudson-valley-farmhouse-cider/
/kaneb-orchards/,https://ciderguide.com/glintcap/medalists/kaneb-orchards/
/keuka-craft-ciders/,https://ciderguide.com/glintcap/medalists/keuka-craft-ciders/
/kings-highway-fine-cider/,https://ciderguide.com/glintcap/medalists/kings-highway-fine-cider/
/lindners-cider/,https://ciderguide.com/glintcap/medalists/lindners-cider/
/little-apple-cidery/,https://ciderguide.com/glintcap/medalists/little-apple-cidery/
/long-island-meadery/,https://ciderguide.com/glintcap/medalists/long-island-meadery/
/melo-moon-cider/,https://ciderguide.com/glintcap/medalists/melo-moon-cider/
/metal-house-cider/,https://ciderguide.com/glintcap/medalists/metal-house-cider/
/new-leaf-cider-co/,https://ciderguide.com/glintcap/medalists/new-leaf-cider-co/
/nine-pin-cider/,https://ciderguide.com/glintcap/medalists/nine-pin-cider/
/original-sin/,https://ciderguide.com/glintcap/medalists/original-sin-cider/
/patriots-heritage-cider/,https://ciderguide.com/glintcap/medalists/patriots-heritage-cider/
/redbyrd-orchard-cider/,https://ciderguide.com/glintcap/medalists/redbyrd-orchard-cider/
/riverhead-ciderhouse/,https://ciderguide.com/glintcap/medalists/riverhead-ciderhouse/
/rootstock-ciderworks/,https://ciderguide.com/glintcap/medalists/rootstock-ciderworks/
/seminary-hill-orchard-cidery/,https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/
/slyboro-ciderhouse/,https://ciderguide.com/glintcap/medalists/slyboro-ciderhouse/
/star-cider/,https://ciderguide.com/glintcap/medalists/star-cider/
/three-brothers-wineries-estates/,https://ciderguide.com/glintcap/medalists/three-brothers-wineries-estates/
/treasury-cider/,https://ciderguide.com/glintcap/medalists/treasury-cider-at-fishkill-farms/
/warwick-valley-winery-distillery/,https://ciderguide.com/glintcap/medalists/warwick-valley-winery-distillery/
/wolffer-estate-vineyard/,https://ciderguide.com/glintcap/medalists/wolffer-estate-vineyard/
/botanist-barrel/,https://ciderguide.com/glintcap/medalists/botanist-barrel/
/bull-city-ciderworks/,https://ciderguide.com/glintcap/medalists/bull-city-ciderworks/
/carolina-distillery/,https://ciderguide.com/glintcap/medalists/carolina-distillery/
/flat-rock-cider-company/,https://ciderguide.com/glintcap/medalists/flat-rock-cider-company/
/goodroad-ciderworks/,https://ciderguide.com/glintcap/medalists/goodroad-ciderworks/
/james-creek-ciderhouse/,https://ciderguide.com/glintcap/medalists/james-creek-cider-house/
/mcritchie-winery-ciderworks/,https://ciderguide.com/glintcap/medalists/mcritchie-winery-ciderworks/
/noble-cider/,https://ciderguide.com/glintcap/medalists/noble-cider/
