ID,WID,Year,Style,Award,Medalist,Entry,Region,Style Group
758,553,2024,Modern – Sweet,👍 Judges' Pick,Seattle Cider Company,Semi Sweet,Washington,Modern
759,165,2024,Fruit,🏆 Platinum,Brooklyn Cider House,Rosé,New York,Fruit
760,569,2024,Fruit,🥇🥇 Double Gold,Snow Capped Cider,Sparkling Rosé,Colorado,Fruit
761,1056,2024,Fruit,🥇 Gold,Highpoint Cider,Prairie Punch,Idaho,Fruit
762,449,2024,Fruit,🥈 Silver,North Canyon Cider Company,Pomegranate Hard Cider,California,Fruit
763,345,2024,Fruit,👍 Judges' Pick,Incline Cider Company,Blood Orange,Washington,Fruit
764,1887,2024,Fruit,👍 Judges' Pick,Offset Ciderworks,Pink Guava,Washington,Fruit
765,553,2024,Fruit,👍 Judges' Pick,Seattle Cider Company,VIVID Juicy Pear,Washington,Fruit
766,3349,2024,Berry,🏆 Platinum,OutWest Wines & Ciders,Blackberry Cider,Washington,Fruit
767,415,2024,Berry,🥇🥇 Double Gold,Meriwether Cider Company,Black Currant Crush,Idaho,Fruit
768,490,2024,Berry,🥇 Gold,Portland Cider Company,Pacific Berry,Oregon,Fruit
769,3349,2024,Berry,🥈 Silver,OutWest Wines & Ciders,Raspberry Cider,Washington,Fruit
770,635,2024,Berry,👍 Judges' Pick,Tieton Cider Works,Hazy Strawberry,Washington,Fruit
771,1055,2024,Berry,👍 Judges' Pick,Vala's Orchard Cider,Blackberry,Nebraska,Fruit
772,1055,2024,Berry,👍 Judges' Pick,Vala's Orchard Cider,Black Currants,Nebraska,Fruit
773,133,2024,Stone Fruit,🏆 Platinum,Black Apple Hard Cider,Peach,Arkansas,Fruit
774,810,2024,Stone Fruit,🥇🥇 Double Gold,Merridale Ciderworks,Merri Berri,British Columbia,Fruit
775,569,2024,Stone Fruit,🥇🥇 Double Gold,Snow Capped Cider,Sour Cherry,Colorado,Fruit
776,67,2024,Stone Fruit,🥇 Gold,2 Towns Ciderhouse,Apricot Cosmic Crisp,Oregon,Fruit
777,2208,2024,Stone Fruit,🥇 Gold,Soundbite Hard Cider,The Plum Oolong Goodbye,Washington,Fruit
778,421,2024,Stone Fruit,🥈 Silver,Mill Haus Cider,Apricot Peach,Washington,Fruit
779,3349,2024,Stone Fruit,🥈 Silver,OutWest Wines & Ciders,Harvest Peach Cider,Washington,Fruit
780,10,2024,Stone Fruit,👍 Judges' Pick,Blake's Hard Cider Co.,Peach Party,Michigan,Fruit
781,198,2024,Stone Fruit,👍 Judges' Pick,Cinder Block Brewery,Fresh Pressed Cherry,Missouri,Fruit
782,345,2024,Stone Fruit,👍 Judges' Pick,Incline Cider Company,White Peach,Washington,Fruit
783,490,2024,Tropical,🏆 Platinum,Portland Cider Company,Passion Orange Guava,Oregon,Fruit
784,67,2024,Tropical,🥇🥇 Double Gold,2 Towns Ciderhouse,Pacific Pineapple,Oregon,Fruit
785,600,2024,Tropical,🥇 Gold,Stormalong Cider,POG Punch,Massachusetts,Fruit
786,67,2024,Tropical,🥈 Silver,2 Towns Ciderhouse,Tropical Cosmic Crisp,Oregon,Fruit
787,1084,2024,Tropical,👍 Judges' Pick,19 Acres Cider Co.,Pineapple Passion,Oregon,Fruit
788,103,2024,Tropical,👍 Judges' Pick,Avid Cider,Pineapple Mango,Oregon,Fruit
789,198,2024,Tropical,👍 Judges' Pick,Cinder Block Brewery,Fresh Pressed Pineapple,Missouri,Fruit
790,550,2024,Imperial Cider (Apple Only),🏆 Platinum,Schilling Cider,Excelsior Imperial Apple,Washington,Imperial
791,67,2024,Imperial Cider (Apple Only),🥇🥇 Double Gold,2 Towns Ciderhouse,Original Cosmic Crisp,Oregon,Imperial
792,490,2024,Imperial Cider (Apple Only),🥇 Gold,Portland Cider Company,Imperial Abbey Apple,Oregon,Imperial
793,553,2024,Imperial Cider (Apple Only),🥈 Silver,Seattle Cider Company,Odyssey,Washington,Imperial
794,10,2024,Imperial Cider (Apple Only),👍 Judges' Pick,Blake's Hard Cider Co.,American Apple,Michigan,Imperial
795,2325,2024,Imperial Cider (Apple Only),👍 Judges' Pick,Donovan Orchards Estate Ciders,Rye and Dry,New York,Imperial
796,600,2024,Imperial Cider (Apple Only),👍 Judges' Pick,Stormalong Cider,Massive Appeal,Massachusetts,Imperial
797,67,2024,Imperial Cider (With Adjuncts),🏆 Platinum,2 Towns Ciderhouse,The Bad Apple,Oregon,Imperial
798,345,2024,Imperial Cider (With Adjuncts),🥇🥇 Double Gold,Incline Cider Company,The Tropics,Washington,Imperial
799,490,2024,Imperial Cider (With Adjuncts),🥇 Gold,Portland Cider Company,Imperial Peach Tea,Oregon,Imperial
800,67,2024,Imperial Cider (With Adjuncts),🥈 Silver,2 Towns Ciderhouse,Raspberry Cosmic Crisp,Oregon,Imperial
801,569,2024,Co-Ferment,🏆 Platinum,Snow Capped Cider,Porter’s & Perry,Colorado,Co-Ferment
802,569,2024,Co-Ferment,🥇🥇 Double Gold,Snow Capped Cider,White Wine Perry,Colorado,Co-Ferment
803,350,2024,Co-Ferment,🥇 Gold,Island Orchard Cider,Apple Cherry,Wisconsin,Co-Ferment
804,2039,2024,Co-Ferment,🥈 Silver,Kristof Farms,Kristof Noir,Oregon,Co-Ferment
805,350,2024,Hopped,🏆 Platinum,Island Orchard Cider,Hopped Brut Apple,Wisconsin,Hopped
806,209,2024,Hopped,🥇🥇 Double Gold,Colorado Cider Company,Grasshop-Ah,Colorado,Hopped
807,1813,2024,Hopped,🥇 Gold,Clarksburg Cider,Galaxy Grove,New York,Hopped
808,553,2024,Hopped,🥈 Silver,Seattle Cider Company,Mixtape,Washington,Hopped
809,118,2024,Hopped,👍 Judges' Pick,Bauman's Cider,Idaho 7,Oregon,Hopped
810,389,2024,Hopped,👍 Judges' Pick,Liquid Alchemy Beverages,Cash-Ually-Hoptimistic,Delaware,Hopped
811,1074,2024,Hopped,👍 Judges' Pick,Papa Moon Vineyards & Winery,Hopped,Nebraska,Hopped
812,569,2024,Botanical,🏆 Platinum,Snow Capped Cider,Plum Lemongrass,Colorado,Botanical & Spiced
813,133,2024,Botanical,🥇🥇 Double Gold,Black Apple Hard Cider,Hibiscus,Arkansas,Botanical & Spiced
814,415,2024,Botanical,🥇 Gold,Meriwether Cider Company,Bannock Street Buzz,Idaho,Botanical & Spiced
815,67,2024,Botanical,🥈 Silver,2 Towns Ciderhouse,The Baddie,Oregon,Botanical & Spiced
816,1084,2024,Botanical,👍 Judges' Pick,19 Acres Cider Co.,Strawberry Hibiscus,Oregon,Botanical & Spiced
817,553,2024,Botanical,👍 Judges' Pick,Seattle Cider Company,Gin Botanical,Washington,Botanical & Spiced
818,2241,2024,Botanical,👍 Judges' Pick,Snowbird Farm & Cidery,Brady Bottom Blackberry Basil,Washington,Botanical & Spiced
819,550,2024,Spiced,🏆 Platinum,Schilling Cider,Excelsior Imperial Apple Pie,Washington,Botanical & Spiced
820,976,2024,Spiced,🥇🥇 Double Gold,Sincere Cider,Ginger Agave,California,Botanical & Spiced
821,415,2024,Spiced,🥇 Gold,Meriwether Cider Company,Ginger Root,Idaho,Botanical & Spiced
822,345,2024,Spiced,🥈 Silver,Incline Cider Company,Maple Haze,Washington,Botanical & Spiced
823,389,2024,Spiced,👍 Judges' Pick,Liquid Alchemy Beverages,Cinnical,Delaware,Botanical & Spiced
824,3349,2024,Spiced,👍 Judges' Pick,OutWest Wines & Ciders,Lemon Ginger,Washington,Botanical & Spiced
825,490,2024,Spiced,👍 Judges' Pick,Portland Cider Company,Pumpkin Spice,Oregon,Botanical & Spiced
826,345,2024,Spiced – Pepper,🏆 Platinum,Incline Cider Company,Cucumber Jalapeño,Washington,Botanical & Spiced
827,530,2024,Spiced – Pepper,🥇🥇 Double Gold,Rootwood Cider Co.,Ghost Chili,Washington,Botanical & Spiced
828,10,2024,Spiced – Pepper,🥇 Gold,Blake's Hard Cider Co.,Watermelon Heatwave,Michigan,Botanical & Spiced
829,389,2024,Spiced – Pepper,🥇 Gold,Liquid Alchemy Beverages,Cherry-ots-of-Fire,Delaware,Botanical & Spiced
830,490,2024,Spiced – Pepper,🥈 Silver,Portland Cider Company,Key Lime Habanero,Oregon,Botanical & Spiced
831,1074,2024,Cocktail Inspired,🏆 Platinum,Papa Moon Vineyards & Winery,Margarita,Nebraska,Cocktail-Inspired
832,188,2024,Cocktail Inspired,🥇🥇 Double Gold,Champlain Orchards,Sidria,Vermont,Cocktail-Inspired
833,749,2024,Cocktail Inspired,🥇 Gold,Cidrerie Michel Jodoin,Pomme on the Beach,Quebec,Cocktail-Inspired
834,409,2024,Cocktail Inspired,🥈 Silver,McMenamins Edgefield Winery,Blood Orange Ginger,Oregon,Cocktail-Inspired
835,530,2024,Specialty,🏆 Platinum,Rootwood Cider Co.,Pollinator,Washington,Specialty
836,3350,2024,Specialty,🥇🥇 Double Gold,Hierophant Meadery,Counsel of Dryads,Washington,Specialty
837,2208,2024,Specialty,🥇 Gold,Soundbite Hard Cider,Pickelback,Washington,Specialty
838,2241,2024,Specialty,🥈 Silver,Snowbird Farm & Cidery,Lavender Haze,Washington,Specialty
