WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1553,Frank's Cider,Tasmania,1,6,25,32,2012,2024,11,Active,Australia,https://www.frankscider.com.au/,https://www.facebook.com/FranksCider,https://www.instagram.com/frankscider/,https://maps.google.com/?cid=12281895632138757991,https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin,https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183,https://untappd.com/brewery/66943,-43.0691759,147.023825,0
2838,Barossa Cider Co.,South Australia,5,13,10,28,2013,2024,11,Active,Australia,https://barossavalleyciderco.com/,https://www.facebook.com/barossacider/,https://www.instagram.com/barossacider.co/,,,,https://untappd.com/TheBarossaValleyCiderCo,-34.479051,138.9579419,0
1427,St Ronan's Cider,Victoria,5,11,11,27,2012,2024,12,Active,Australia,https://stronanscider.com.au/,https://www.facebook.com/StRonansCider,https://www.instagram.com/st_ronans_cider/,https://maps.google.com/?cid=1347860416011573691,,,https://untappd.com/StRonansCider,-37.6872838,145.5377722,0
1494,The Apple Thief,New South Wales,1,4,22,27,2013,2024,9,Active,Australia,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,,https://untappd.com/brewery/21796,-35.4922551,148.1527324,0
2862,Kangaroo Island Ciders,South Australia,2,14,10,26,2012,2024,11,Active,Australia,https://www.kangarooislandciders.com.au/,,,https://maps.google.com/?cid=7120331639179318476,,,https://untappd.com/w/kangaroo-island-ciders/62318,-35.7852747,137.5522015,0
2875,Sydney Brewery,New South Wales,2,6,17,25,2015,2024,9,Active,Australia,https://sydneybrewery.com/,https://www.facebook.com/SydneyBrewery/,https://www.instagram.com/sydneybrewery/,https://maps.google.com/?cid=6674617705014025022,,https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287,https://untappd.com/SydneyBrewhouse,-33.8819999,151.2098009,0
1131,Westons Cider,Herefordshire,3,3,18,24,2012,2018,5,Active,England,https://www.westons-cider.co.uk/,https://www.facebook.com/WestonsCiderMill,https://www.instagram.com/westonscider/,https://maps.google.com/?cid=11779156514256391794,,https://www.tripadvisor.com/Attraction_Review-g186303-d218508,https://untappd.com/brewery/6135,51.994817,-2.512396,0
2854,Funk Cider,Western Australia,1,7,14,22,2017,2024,7,Active,Australia,https://funkdrinks.co/,https://www.facebook.com/funkdrinksco,https://www.instagram.com/funkdrinksco/,https://maps.google.com/?cid=12976653066917509642,,,https://untappd.com/FunkCider,-31.8781416,115.9686002,0
2699,Plenty Cider,Tasmania,7,3,10,20,2021,2024,4,Active,Australia,https://www.plentycider.com.au/,https://www.facebook.com/plentycider/,https://www.instagram.com/plentycider/,https://maps.google.com/?cid=108618394510087143,,,https://untappd.com/w/plenty-cider/454183,-42.7535512,146.9708462,0
2872,Seven Oaks Farmhouse Cider,Victoria,---,5,14,19,2014,2022,6,Active,Australia,https://www.sevenoakscider.com.au/,https://www.facebook.com/sevenoakscider/,https://www.instagram.com/sevenoaksfarmhouse,https://maps.google.com/?cid=8084176422687381883,,,https://untappd.com/w/seven-oaks-farmhouse-cider/17183,-38.3507377,145.0576847,0
